"ANSAMBLU CONTOR CALDURA DN20 (NINGBO EXTERIOR=1"", L=130) RC20 Modbus RS485",Materii Prime Generale,product,,0,1,Unit,Unit,,EHMAPR00027,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,EVI_90002, modificare: EVI_00064
"ANSAMBLU CONTOR CALDURA RC25 (1-1/4"") DN25 Modbus RS485 HM RC25 â€“ long wired",Materii Prime Generale,product,,0,1,Unit,Unit,,EHMAPR00033,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,EVI_90004, modificare: EVI_00167



GARNITURA 1-1/4 inch-Tesnit BA U 3mm D37xD25x3,Materii Prime Generale,product,,0,1,Unit,Unit,,EHMAPR00223,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,EVI_00009,
GARNITURA 2 INCH D56xD45x3,Materii Prime Generale,product,,0,1,Unit,Unit,,EHMAPR00226,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,EVI_00218,
"KIT FURTUN UMPLERE FL12041510 (Furtun +2 robineti INTA 1/2"" (DCV0123; ISOBVFL)) FL12041510",Materii Prime Generale,product,,0,1,Unit,Unit,,EHMAPR00269,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,EVI_00112,



TEAVA CUPRU 15x1 (3M) FEINROHREN,Materii Prime Generale,product,,0,1,m,m,,EHMAPR00533,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,E_00364,
TEAVA CUPRU 18x1 (3m) FEINROHREN,Materii Prime Generale,product,,0,1,m,m,,EHMAPR00534,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,E_00366,
TEAVA CUPRU 22x1 (3m) FEINROHREN,Materii Prime Generale,product,,0,1,m,m,,EHMAPR00535,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,E_00367,
TEAVA CUPRU 28x1 FEINROHREN,Materii Prime Generale,product,,0,1,m,m,,EHMAPR00536,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,E_00368,
EVINOX MODUSAT CTP7R-1A-TL1,Produse Finite,product,,1,0,Unit,Unit,,EHPRFI00019,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,CTP7R-1A-TL1,


CONNECTION BOARD 882CB20 1R,Materii Prime Generale,product,,0,1,Unit,Unit,,EHMAPR00113,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,EVI_90003, modificare: EVI_00074



