Nume,Categorie,Tip_produs,Pret,Vanzare_ok,Achizitie_ok,Unitate,Unitate_achizitie,Cod_bare,SKU,Taxe,Taxe_achizitie,code_uk,Descriere
GARNITURA 1/2 INCH (ETANSARE PE INEL) D19xD15x3 FS200,Materii Prime Generale,product,,0,1,Units,Units,,EHMAPR00221,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
GARNITURA 3/8 inch D19xD15x3 CHHC-70-10R-30R,Materii Prime Generale,product,,0,1,Units,Units,,EHMAPR00228,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
ADAPTOR 3P, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00001,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
ADAPTOR MICRO USB, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00002,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
AGENDA/JURNAL, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00003,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
AGRAFE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00004,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
ALONJA INDOSARIERE SET 10 BUC, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00005,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
ALONJE PLASTIC, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00006,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
ASCUTITOARE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00007,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
AUTOCOLANT AVERTIZARE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00008,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
BANDA ADEZIVA, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00009,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
BANDA AMBALARE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00010,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
BANDA DE ACOPERIRE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00011,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
BANDA DUBLU ADEZIVA, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00012,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
BANDA IZOLAT, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00013,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
BANDA MASCARE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00014,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
BLOC NOTES, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00015,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
BOL, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00016,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
BURETE VASE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00017,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
CABLU MICRO USB, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00019,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
CAIET DIVERSE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00020,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
CARNET DIVERSE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00021,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
CARTUS IMPRIMANTA, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00022,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
CLIPBOARD, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00023,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
COADA UNELTE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00024,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
COLI HIDRO AC 100 BUC SET, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00025,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
COPERTA A3 A4, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00027,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
COTIERE SUDORI, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00028,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
CREION DIVERSE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00029,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
CREION MECANIC, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00030,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
CRETA, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00031,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
CUTTER, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00032,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
DECAPSATOR, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00033,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
DEGRESANT, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00034,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
DETARTRANT, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00035,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
DETERGENT VASE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00036,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
DIBLU, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00037,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
DISC DEGRESARE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00038,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
DISC METAL, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00039,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
DISC TAIERE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00040,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
DOSAR DIVERSE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00041,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
ETICHETE AUTOADEZIVE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00042,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
EXTENSIE FURTUN, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00043,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
FARAS, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00044,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
FARFURII UNICA FOL, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00045,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
FOARFECA, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00046,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
FOLIE DE STICLA, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00047,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
FOLIE LAMINARE A4, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00048,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
FURTUN CU CAPAC, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00050,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
GALEATA CU STORCATOR, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00051,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
GLADE MICROSPRAY, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00052,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
HARTIE IGIENICA, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00053,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
HARTIE XEROX, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00054,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
HUSA LAPTOP NOTEBOOK, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00055,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
HUSA TELEFON, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00056,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
INCARCATOR TELEFON, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00057,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
LAVETE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00058,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
LINIAR, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00059,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
LIPICI, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00060,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
MANUSI LUCRU, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00061,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
MAPA CARTON, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00062,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
MARKER, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00063,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
MASCA PROTECTIE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00064,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
MATURA, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00065,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
MINA CREION, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00066,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
MINA PIX, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00067,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
MOB DISPOZITIV, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00068,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
MONOROLA, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00069,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
MOUSE DIVERSE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00070,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
OCHELARI PROTECTIE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00071,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
ODORIZANT DIVERSE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00072,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
PAHARE UNICA FOLOSINTA, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00073,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
PENSULA, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00074,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
PERIE WC, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00075,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
PICURATOR, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00076,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
PIONEZE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00077,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
PIX, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00078,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
PIX MECANIC, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00079,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
PROSOP HARTIE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00080,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
RAC FLEX, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00081,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
RADIERA, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00082,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
REZERVA MOP, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00083,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
REZERVA ROLLER, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00084,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
SACI MENAJERI, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00085,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
SACOSA DIVERSE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00086,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
SANO CREMA, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00087,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
SAPUN LICHID, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00088,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
SAPUN SOLID, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00089,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
SERVETELE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00090,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
SET 4 MARKERE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00091,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
SET 4 PAHARE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00092,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
SET 4 PLACEMAT, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00093,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
SET 4 SURUBURI, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00094,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
SET 6 BURGHIE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00095,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
SET BITI, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00096,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
SET CHEI, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00097,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
SET FARAS + PERIE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00098,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
SET FOI SMIRGHET, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00099,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
SET LAME CUTTER, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00100,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
SET SURUBELNITA, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00101,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
SITA PISOAR, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00102,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
SOLUTIE CURATARE DIVERSE, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00103,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
SPRAY MOBILA, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00104,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
SPRAY MULTIFUNCTIONAL, Alte mat. Consumabile,product,,0,1,Units,Units,,EHCON00105,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
BANDA 16x 0.7 SERIA 5468 (1500ml/rola), Alte mat. Consumabile,product,,0,1,m,m,,EHCON00106,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
BANDA PP 16x 0.7mm., Alte mat. Consumabile,product,,0,1,m,m,,EHCON00108,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
AVANS BUNURI FURNIZOR,Financiare – Contare La Artricol,service,,0,1,,,,EHCONT0001,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
AVANS SERVICII FURNIZORI,Financiare – Contare La Artricol,service,,0,1,,,,EHCONT0002,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
AVANS CLIENT,Financiare – Contare La Artricol,service,,0,1,,,,EHCONT0003,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
CH TRANSPORT MARFA ACHIZITII,Financiare – Contare La Artricol,service,,0,1,,,,EHCONT0004,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
CH TELEFONIE/POSTA FURNIZOR,Financiare – Contare La Artricol,service,,0,1,,,,EHCONT0005,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
CH ASIGURARI FURNIZOR,Financiare – Contare La Artricol,service,,0,1,,,,EHCONT0006,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
CH PROTOCOL 9%,Financiare – Contare La Artricol,service,,0,1,,,,EHCONT0007,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,,
CH PROTOCOL 19%,Financiare – Contare La Artricol,service,,0,1,,,,EHCONT0008,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
CH CHIRIE 19%,Financiare – Contare La Artricol,service,,0,1,,,,EHCONT0009,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
CH ENERGIE SI APA 19%,Financiare – Contare La Artricol,service,,0,1,,,,EHCONT0010,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
CH ALTE SERVICII FURNIZOR,Financiare – Contare La Artricol,service,,0,1,,,,EHCONT0011,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
COMBUSTIBIL BENZINA/MOTORINA,Financiare – Contare La Artricol,service,,0,1,,,,EHCONT0012,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
TAXA VAMALA,Financiare – Contare La Artricol,service,,0,1,,,,EHCONT0013,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
C.L. PLATFORMA BOARD EvTh 1200 X 1400 X 144 D3-R,Ambalaje,product,,0,1,Units,Units,,EHAMBJ00015,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,E_00357,
C.L. PLATFORMA BOARD EvTh 1800 X 1000 X 144 D3-R,Ambalaje,product,,0,1,Units,Units,,EHAMBJ00016,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,E_00356,
C.L. PLATFORMA BOARD EvTh 1800 X 1600 X 144 D3-R,Ambalaje,product,,0,1,Units,Units,,EHAMBJ00017,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,E_00359,
C.L. PLATFORMA BOARD EvTh 1800 X 1600 X 144 DE-R,Ambalaje,product,,0,1,Units,Units,,EHAMBJ00018,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,E_00359,
C.L. PLATFORMA BOARD EvTh 2100 X 800 X 144 D3-R,Ambalaje,product,,0,1,Units,Units,,EHAMBJ00019,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,E_00358,
PALETI 800x1200 EURO RECONDITIONATI CAL I,Ambalaje,product,,0,1,Units,Units,,EHAMBJ00029,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,E_00362,
"BURGHIU IRWIN HSS PRO 11,0x 94/142mm - 5 BUC / SET",Obiecte De Inventar,product,,0,1,Units,Units,,EHOBIC00185,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,OBI00200,
"BURGHIU IRWIN HSS PRO 13,0x 101/151mm - 5 BUC / SET",Obiecte De Inventar,product,,0,1,Units,Units,,EHOBIC00186,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,OBI00201,
"NITURI POP CAP INECAT OTEL/OTEL - Ø 4,8x10,0mm SARIV - 500 BUC / CUTIE",Obiecte De Inventar,product,,0,1,Units,,,EHOBIC00187,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,OBI00202,
"ROBINET SFERA MANETA ALBATRA 1"" PN25 HERZ 1220153",Materii Prime Generale,product,,0,1,Units,Units,,EHMAPR00446,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,E_00361,
PROUCE CAPSATOR TAPIT,Materii Prime Generale,product,,0,1,Units,Units,,EHMAPR00410,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,E_00351,
M 10X60 TORB 603 (1 SUT),Materii Prime Generale,product,,0,1,Units,Units,,EHMAPR00286,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,E_00360,
POUCE LAMA BPMFAIER,Materii Prime Generale,product,,0,1,Units,Units,,EHMAPR00405,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,E_00352,
PP PORT CU PANZA B,Materii Prime Generale,product,,0,1,Units,Units,,EHMAPR00406,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,E_00354,
AUC SET PANZE B,Materii Prime Generale,product,,0,1,Units,Units,,EHMAPR00041,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,E_00353,
AUC COALA ABRAZIVA 2,Materii Prime Generale,product,,0,1,Units,Units,,EHMAPR00039,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,E_00355,
AUC FIERASTRAU METAL,Materii Prime Generale,product,,0,1,Units,Units,,EHMAPR00040,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,E_00350,